flow_pktlen,label
"[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20, 1222, -20, -344, 20]",web
"[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]",web
"[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]",web
"[32, -32, 20, 537, -20, -178, 71, 859, -20, -20, -344, 859, -20, -344, 859, -20, -344, 20]",web
"[32, -32, 20, 537, -20, -133, -4400, -595, 20, -358, -29, 20, 146, 125, 440, -32, -20, -20, -140, -71, 20, -98, 58, -8780, -1076, 20, -20]",web
"[21, -32]",web
"[21, -32]",web
"[21, -32]",web
"[32, -28, 20, 22, 48, -20, -20, -141, 20, -20, 20]",web
"[32, -28, 20, 22, 48, -20, -20, -125, 20, -20, 20]",web
"[1460, 1460, 1460, 1460, 1460, 1006, 1460, 1460, 1460, 1460, 1460, 1332, -20, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 635, -20, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 652, -20, -20, -20, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1116, 1460, 1460, 1460, 1460, 1460, 1460, 364, -20, -20, -20, -20, -20, -32, 1460, -20, -918, 20, 1460, 1460, 1460, 1460, 1460, 1117, 1460, 1460, 1460, 1460, 1460, 1460, 1460, 1460, 984, -20, -20, -20, -20, -20, -20, -20, -918, 20]",web
"[32, -32, 20, 537, -20, -4400, -1350, 20, 178, -20, -362, -89, 20]",web
