five_tup,flow_pktlen
"['2001:da8:1002:a000::6:a3cf', '240e:e9:6002:16e:0:ff:b06b:169f', 65484, 443, 6]","[32, -32, 20, 537, -20, -4340, -902, 20, 113, 125, -902, 32, 412, 95, -20, -20, -190, -95, -58, 20, 58, -20, -20, -680, -67, 20, 214, -67, 32, -20, -20, -253, -135, -58, 20, -58, 32]"
"['2001:da8:1002:a000::6:a3cf', '240e:e9:6002:16e:0:ff:b06b:169f', 65485, 443, 6]","[32, -32, 20, 537, -20, -4340, -902, -902, 32, 113, 125, 564, 1460, 1460, 1364, 530, -20, -190, -20, -20, -20, -95, -58, 20, 58, -20, -20, -20, -62, -98, -58, 20, -58, 32, -20, -337, -607, -58, 20, -58, 32, 477, -20, -62, -58, 20, -58, 32]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65489, 443, 6]","[32, -32, 20, 537, -20, -4340, -908, 20, 113, 1249, -908, 32, -20, -20, -190, -278, 20, 1250, -278, 32, -20, -278, 1249, -20, -278, 1252, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20, 1215, -20, -278, 20]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65490, 443, 6]","[32, -32, 20, 537, -20, -4340, -908, 20, -908, 32, 113, 1249, -20, -20, -190, -278, 20, -278, 32, 1215, -20, -278, 1250, -20, -278, 1249, -20, -278, 1249, -20, -278, 20]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65491, 443, 6]","[32, -32, 20, 537, -20, -4340, -908, -908, 32, 113, 1249, -20, -190, -20, -278, 20, 1248, -278, 32, -20, -278, 1249, -20, -278, 1252, -20, -278, 1215, -20, -278, 20]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65492, 443, 6]","[32, -32, 20, 537, -20, -1460, -1460, -1460, -908, 20, 113, -908, 32, 1215, -20, -190, -20, -278, 20, 1249, -278, 32, -20, -278, 1249, -20, -278, 1250, -20, -278, 20]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65493, 443, 6]","[32, -32, 20, 537, -20, -1460, -1460, -1460, -908, 20, 113, -908, 32, 1249, -20, -20, -190, -278, 20, -278, 32, 1249, -20, -278, 1248, -20, -278, 20]"
"['10.208.8.65', '10.80.128.28', 65494, 53, 6]","[32, -28, 20, 22, 59, -20, -20, -224, 20, -20, 20]"
"['2001:da8:1002:a000::6:a3cf', '2409:8c20:6:39:0:ff:b058:9bde', 65498, 443, 6]","[32, -32, 20, 537, -20, -4340, -908, 20, 113, 1215, -908, 32, -20, -20, -190, -278, 20, 1252, -278, 32, -20, -278, 1249, -20, -278, 20]"
"['10.208.8.65', '116.163.21.50', 65499, 443, 6]","[32, -32, 20, 537, -20, -2940, -282, 20, 113, 20, -294, -89, -20, 20]"
